user_id,variant_name,revenue,group
9468,control,8.528104691935328,A1
3766,control,9.481786398402916,A2
1003,control,4.697285583404605,A2
9865,control,5.821197003876745,A2
6259,control,7.908547013925951,A1
3919,control,5.243350032985656,A1
7973,control,5.667348654748533,A2
201,control,6.307237190880722,A1
484,control,6.728872397719012,A2
7623,control,3.5156699591871163,A2
8147,control,9.539509247975214,A1
867,control,2.0912686508024705,A1
5412,control,4.625632299948332,A2
7885,control,8.065558428716916,A2
5259,control,7.93871753980057,A1
1746,control,5.309894851393833,A1
3164,control,3.2244285047397745,A1
5766,control,1.038407063552146,A2
4405,control,4.3041757013476944,A2
9908,control,7.404759697568823,A2
4454,control,2.9028940698658148,A1
5035,control,2.1599641256420496,A2
9475,control,8.90155079046358,A2
5515,control,3.980695636496693,A1
4636,control,4.123851396777627,A2
7724,control,2.494409279900148,A1
9048,control,6.55498071166382,A1
2059,control,1.772204304884097,A1
84,control,3.2090668776126487,A2
1529,control,3.9783897248622537,A1
8546,control,5.856663741060835,A1
9859,control,5.604943795479563,A1
296,control,3.731355812638073,A2
3023,control,4.274517668025724,A1
5652,control,3.655079104448098,A1
3042,control,3.373707435911092,A2
8228,control,1.7396033060679108,A2
4702,control,5.925564511051548,A2
719,control,3.185403271233516,A1
4128,control,5.103890791592278,A2
6031,control,5.257965821514821,A2
7293,control,7.278801369086601,A2
5352,control,2.5303483592926947,A1
4105,control,5.804683282355098,A2
4650,control,3.6303798181193736,A2
4158,control,3.842300670471169,A1
9643,control,5.112330684459491,A1
267,control,2.669700318433287,A2
21,control,5.93132487946092,A1
8268,control,7.976504387591199,A2
4298,control,8.791778352061167,A2
7510,control,7.357559142319301,A1
1034,control,4.640150328375298,A1
3706,control,7.108903453862274,A2
4910,control,4.193646106053641,A1
1297,control,7.444890140764855,A2
9760,control,5.4165499561537205,A2
5086,control,5.712732794348804,A1
884,control,5.021000041441641,A2
579,control,5.25382418540724,A2
322,control,5.803978726889404,A2
8435,control,8.766301394112508,A2
996,control,2.3044818777151077,A2
4845,control,2.459030003028533,A1
1677,control,6.938793416316022,A2
6292,control,2.65375318977168,A1
5912,control,4.1727620384805055,A2
3514,control,3.5050903771184845,A2
3864,control,8.84588405296077,A2
6142,control,7.961029582868848,A2
2256,control,8.73511792085314,A1
6782,control,6.812089316550771,A2
5854,control,3.277548629890595,A1
